train_id,latitude,longitude,delay_minutes,timestamp
13019,22.92334,88.37839,-23,1773076254.283949
13427,22.58382,88.34221,0,1773076255.099238
13012,25.01622,88.13033,0,1773076256.0209742
37274,22.9226,88.3782,0,1773076257.1370122
37251,22.58382,88.34221,0,1773076258.078132
37249,22.58382,88.34221,0,1773076258.8781672
22321,22.58382,88.34221,0,1773076259.9141684
37817,22.58382,88.34221,0,1773076260.8312407
37853,23.196764,88.000885,-7,1773076262.573977
22387,22.58382,88.34221,0,1773076263.38877
37914,23.64018,88.12254,0,1773076264.2130327
37201,22.58382,88.34221,0,1773076265.8519082
37845,22.58382,88.34221,0,1773076267.1916907
37818,23.24976,87.87004,0,1773076268.034809
37230,22.9226,88.3782,0,1773076269.2230039
53047,22.58382,88.34221,0,1773076270.0800312
37211,22.58382,88.34221,0,1773076270.9636168
27576,26.609377,88.873184,-16,1773076271.7925947
13021,24.500734,86.640495,-33,1773076272.620502
37811,22.58382,88.34221,0,1773076274.3724618
37826,23.24976,87.87004,0,1773076276.0890427
37266,22.9226,88.3782,0,1773076277.1115828
13020,29.090637,79.51881,-1,1773076278.144526
37921,22.58382,88.34221,0,1773076279.473719
15643,19.80814,85.83828,0,1773076280.2847102
37261,22.58382,88.34221,0,1773076281.2006583
37652,23.1724,88.0961,0,1773076282.031969
37925,22.58382,88.34221,0,1773076284.3797538
37252,22.9226,88.3782,0,1773076285.3011346
13030,23.604212,87.11647,-29,1773076286.024883
37855,23.15251,88.13833,-1,1773076286.7820985
13466,25.01622,88.13033,0,1773076288.0247517
37287,22.58382,88.34221,0,1773076288.8862622
13043,22.58382,88.34221,0,1773076289.7096229
37857,22.720242,88.343254,2,1773076290.4841096
37838,23.24976,87.87004,0,1773076291.2386644
37222,22.9226,88.3782,0,1773076292.0690541
37836,23.24976,87.87004,0,1773076292.8837059
37916,23.64018,88.12254,0,1773076295.1380312
37273,22.58382,88.34221,0,1773076295.9509432
13053,22.58382,88.34221,0,1773076296.769742
15961,24.259539,88.227005,-23,1773076297.5922868
37212,22.9226,88.3782,0,1773076298.6119792
15712,25.552673,87.56711,-27,1773076299.476287
37236,22.9226,88.3782,0,1773076300.3068278
13024,24.205574,87.79645,-29,1773076300.949986
37240,22.9226,88.3782,0,1773076301.6007838
37277,22.58382,88.34221,0,1773076302.3515534
37284,22.616585,88.3386,9,1773076303.711158
13016,25.31478,86.49313,0,1773076304.5112123
37264,22.9226,88.3782,0,1773076305.3663955
37291,22.58382,88.34221,0,1773076306.0928948
37214,22.9226,88.3782,0,1773076306.827499
37814,23.24976,87.87004,0,1773076307.6861095
37813,22.58382,88.34221,0,1773076308.494851
13011,24.891726,88.03997,18,1773076309.201806
13027,22.584503,88.341644,-38,1773076309.803135
53048,24.17954,87.78191,0,1773076310.437646
37927,23.2417,88.32934,-4,1773076311.007891
37258,22.9226,88.3782,0,1773076312.034862
37286,22.922827,88.37823,0,1773076312.5910048
37841,22.58382,88.34221,0,1773076313.1943483
37612,23.0707,88.2695,0,1773076314.001286
37282,22.9226,88.3782,0,1773076314.6164072
37847,22.58382,88.34221,0,1773076315.6984243
37270,22.9226,88.3782,0,1773076316.2754862
37281,22.58382,88.34221,0,1773076316.9377353
13022,24.087103,86.70421,-18,1773076317.4964042
13009,23.298906,87.80983,1,1773076318.1377776
37271,22.58382,88.34221,0,1773076318.8195407
13032,25.884651,85.795364,-12,1773076319.4106472
37280,22.9226,88.3782,0,1773076320.0432627
37260,22.9226,88.3782,0,1773076320.7407782
37269,22.58382,88.34221,0,1773076321.4317865
37658,23.1724,88.0961,0,1773076322.1001477
37285,22.584574,88.34083,-8,1773076322.638607
37217,22.58382,88.34221,0,1773076323.2831035
27575,24.965809,88.122116,-39,1773076323.8615284
37839,22.58382,88.34221,0,1773076324.4941642
13018,24.23022,88.26003,0,1773076325.1501281
37290,22.9226,88.3782,0,1773076325.7080214
13045,24.179722,87.78221,-1,1773076326.240427
37848,23.24976,87.87004,0,1773076326.8605416
37651,22.58382,88.34221,0,1773076327.4996774
37279,22.58382,88.34221,0,1773076328.179153
37657,22.58382,88.34221,0,1773076328.811351
13065,22.58382,88.34221,0,1773076329.4462829
37247,22.58382,88.34221,0,1773076330.0676422
13015,22.58382,88.34221,0,1773076331.3333738
37244,22.9226,88.3782,0,1773076332.0056505
37225,22.58382,88.34221,0,1773076332.6121607
37924,23.64018,88.12254,0,1773076333.1891592
37913,22.58382,88.34221,0,1773076333.860501
37254,22.9226,88.3782,0,1773076334.5146503
37239,22.58382,88.34221,0,1773076335.1280944
37854,22.783043,88.32894,0,1773076335.6424453
37283,22.835077,88.34359,0,1773076336.1535168
37920,23.64018,88.12254,0,1773076336.7977197
37835,22.58382,88.34221,0,1773076337.3862646
13063,22.58382,88.34221,0,1773076338.0397491
13034,23.79245,88.12558,-36,1773076338.5902066
37243,22.58382,88.34221,0,1773076339.156779
15722,26.68269,88.44339,0,1773076339.7991138
37265,22.58382,88.34221,0,1773076340.3602188
13023,23.489464,87.73387,-22,1773076340.967998
13044,26.987411,84.843907,0,1773076342.128899
37216,22.9226,88.3782,0,1773076342.7353637
37911,22.58382,88.34221,0,1773076343.3297238
37263,22.58382,88.34221,0,1773076344.174094
15962,25.81617,87.84304,155,1773076344.76559
22388,23.79096,86.42972,0,1773076345.322159
37918,23.64018,88.12254,0,1773076346.4323554
37656,23.1724,88.0961,0,1773076347.061701
13010,29.946472,78.15297,-7,1773076348.4988096
37840,23.24976,87.87004,0,1773076349.080014
37917,22.58382,88.34221,0,1773076349.6762981
37827,22.58382,88.34221,0,1773076351.4161556
15960,27.194946,95.31272,-23,1773076352.0523741
37246,22.9226,88.3782,0,1773076352.6346552
37849,22.58382,88.34221,0,1773076353.2823992
37923,22.58382,88.34221,0,1773076353.8862312
37834,23.24976,87.87004,0,1773076354.5063088
37289,22.58382,88.34221,0,1773076355.0478613
37215,22.58382,88.34221,0,1773076355.6846938
37234,22.9226,88.3782,0,1773076356.3246012
37253,22.58382,88.34221,0,1773076356.9609997
37915,22.58382,88.34221,0,1773076357.5800798
37824,23.24976,87.87004,0,1773076358.175296
37219,22.58382,88.34221,0,1773076358.7637672
37220,22.9226,88.3782,0,1773076359.3726895
37843,22.58382,88.34221,0,1773076359.946901
37275,22.58382,88.34221,0,1773076360.574991
13064,25.141338,88.11409,-27,1773076361.111868
37821,22.58382,88.34221,0,1773076362.262012
37820,23.24976,87.87004,0,1773076362.8314774
15711,22.58382,88.34221,0,1773076363.4487202
37278,22.9226,88.3782,0,1773076364.1093671
37926,23.64018,88.12254,0,1773076364.706139
37229,22.58382,88.34221,0,1773076365.2894108
37611,22.58382,88.34221,0,1773076365.8887897
13017,22.58382,88.34221,0,1773076366.4711716
37245,22.58382,88.34221,0,1773076367.098978
37213,22.58382,88.34221,0,1773076367.685239
37259,22.58382,88.34221,0,1773076368.2708187
37248,22.9226,88.3782,0,1773076368.8683152
37912,23.64018,88.12254,0,1773076369.6658828
37837,22.58382,88.34221,0,1773076370.2531826
37819,22.58382,88.34221,0,1773076370.8432074
37922,23.64018,88.12254,0,1773076371.4738438
37232,22.9226,88.3782,0,1773076372.0485961
22322,23.89028,87.53119,0,1773076372.6173804
37231,22.58382,88.34221,0,1773076373.2038174
13054,25.643094,88.447855,0,1773076373.778934
37223,22.58382,88.34221,0,1773076374.375342
13029,22.58382,88.34221,0,1773076374.9148889
37851,22.58382,88.34221,0,1773076375.4943254
13028,24.23022,88.26003,0,1773076376.1144946
63502,23.156254,88.13045,-1,1773076377.2881467
13033,22.58382,88.34221,0,1773076377.868666
37241,22.58382,88.34221,0,1773076378.54549
63501,22.58382,88.34221,0,1773076379.0773826
37218,22.9226,88.3782,0,1773076380.059629
37842,23.24976,87.87004,0,1773076380.633798
37816,23.24976,87.87004,0,1773076381.271154
37831,22.58382,88.34221,0,1773076381.90406
37202,22.9226,88.3782,0,1773076382.5000892
13046,24.51169,86.69697,0,1773076383.1348982
37288,22.9226,88.3782,0,1773076383.667513
37224,22.9226,88.3782,0,1773076385.4166584
37830,23.24976,87.87004,0,1773076386.0534997
13428,25.2407,87.6348,0,1773076386.6738694
37614,23.0707,88.2695,0,1773076387.2510986
37242,22.9226,88.3782,0,1773076387.8335586
37919,22.58382,88.34221,0,1773076388.3914258
37255,22.58382,88.34221,0,1773076388.9613326
37250,22.9226,88.3782,0,1773076390.140069
15644,26.157,91.6935,0,1773076390.747779
37828,23.24976,87.87004,0,1773076391.3145628
37227,22.58382,88.34221,0,1773076391.8919194
37844,23.24976,87.87004,0,1773076392.498645
37237,22.58382,88.34221,0,1773076393.0691726
37235,22.58382,88.34221,0,1773076393.662221
37221,22.58382,88.34221,0,1773076394.2534957
37257,22.58382,88.34221,0,1773076394.9331944
37655,22.58382,88.34221,0,1773076395.5072393
13031,25.290007,87.41739,-16,1773076396.0810587
37262,22.9226,88.3782,0,1773076396.659554
37256,22.9226,88.3782,0,1773076397.2825944
37832,23.24976,87.87004,0,1773076397.8578827
13465,22.58382,88.34221,0,1773076398.8931851
37238,22.9226,88.3782,0,1773076399.4719162
37276,22.9226,88.3782,0,1773076400.0587242
37850,23.24976,87.87004,0,1773076400.6656957
37823,22.58382,88.34221,0,1773076401.2734692
37928,22.597067,88.33272,6,1773076401.799997
53001,22.58382,88.34221,0,1773076402.3624334
37852,23.24976,87.87004,0,1773076402.9590518
37268,22.9226,88.3782,0,1773076403.5651977
15959,26.607847,94.21872,-44,1773076404.134149
37233,22.58382,88.34221,0,1773076404.718047
53002,23.947678,88.185936,-15,1773076405.236489
37825,22.58382,88.34221,0,1773076406.0754905
37829,22.58382,88.34221,0,1773076406.660781
37226,22.9226,88.3782,0,1773076407.240373
37822,23.24976,87.87004,0,1773076407.8459234
37815,22.58382,88.34221,0,1773076408.4177094
37272,22.9226,88.3782,0,1773076409.0141637
37228,22.9226,88.3782,0,1773076409.6186838
37812,23.24976,87.87004,0,1773076410.3150172
37267,22.58382,88.34221,0,1773076410.919793
